country_name,avg_rating,wine_count,avg_price
États-Unis,4.4905405405405405,74,274.9027364864865
France,4.447129909365559,331,921.1714054104982
Espagne,4.443617021276595,94,190.3380496453901
Italie,4.430026109660575,383,303.9967064974267
